epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5774,2.93606,3.99762,2.59534,0.00333,0.69231,0.00665,0.00119,3.20105,4.1259,2.99736,8e-05,8e-05,8e-05
2,17.1193,2.91928,3.88436,2.57051,0.00222,0.46154,0.01678,0.00353,3.37795,4.21229,3.033,0.000179287,0.000179287,0.000179287
3,18.0595,2.71482,3.78413,2.50401,0.00222,0.46154,0.00298,0.00065,3.3929,4.65129,3.07488,0.000277782,0.000277782,0.000277782
4,18.7496,2.714,3.75394,2.537,0.00222,0.46154,0.00236,0.00078,3.23701,4.1308,3.08859,0.000375486,0.000375486,0.000375486
5,19.4919,2.58563,3.70135,2.50715,0.00259,0.53846,0.00658,0.00152,2.95208,4.14324,3.05621,0.000472397,0.000472397,0.000472397
6,20.1334,2.72304,3.74876,2.57677,0.00222,0.46154,0.0029,0.00063,3.2273,4.27576,3.36412,0.000568516,0.000568516,0.000568516
7,20.7477,2.52047,3.62472,2.43049,0.00296,0.61538,0.00348,0.00079,3.18988,4.03503,3.54315,0.000663843,0.000663843,0.000663843
8,21.3821,2.56444,3.52475,2.45825,0.00222,0.46154,0.00177,0.00047,2.86296,4.20448,3.63286,0.000758378,0.000758378,0.000758378
9,22.1938,2.50732,3.35428,2.46188,0.00296,0.61538,0.01458,0.00427,2.99545,4.03826,3.67817,0.000852122,0.000852122,0.000852122
10,22.8528,2.51801,3.33666,2.53146,0.00259,0.53846,0.01266,0.00294,3.2848,4.1018,4.1826,0.000945073,0.000945073,0.000945073
11,23.5346,2.68229,3.34926,2.62687,0.00259,0.53846,0.04313,0.02006,2.79863,4.10742,3.40905,0.00103723,0.00103723,0.00103723
12,24.3143,2.57143,3.28589,2.58944,0.00222,0.46154,0.02164,0.00606,3.28371,4.57445,3.87972,0.0011286,0.0011286,0.0011286
13,24.892,2.43638,3.29738,2.4694,0.00296,0.61538,0.00559,0.00132,3.18846,4.8833,4.24958,0.00121917,0.00121917,0.00121917
14,25.5204,2.53364,3.1761,2.41875,0.00296,0.61538,0.01572,0.00551,3.45576,4.67669,3.90217,0.00130896,0.00130896,0.00130896
15,26.2944,2.58665,3.1691,2.45498,0.03025,0.07692,0.01018,0.00155,3.42722,5.47195,7.47305,0.00139795,0.00139795,0.00139795
16,26.8347,2.42743,3.19027,2.4414,0.07638,0.15385,0.03695,0.00698,3.10372,9.98539,5.49541,0.00148615,0.00148615,0.00148615
17,27.3951,2.57827,2.97713,2.53698,0.04736,0.15385,0.01539,0.00449,2.69478,12.7716,3.86412,0.00157356,0.00157356,0.00157356
18,27.9762,2.45632,2.95758,2.45161,0.00524,0.07692,0.00195,0.00056,2.89335,12.3667,4.62285,0.00166017,0.00166017,0.00166017
19,28.608,2.5263,3.18554,2.49227,0.06995,0.07692,0.01048,0.00224,3.16567,8.5257,4.68057,0.00174599,0.00174599,0.00174599
20,29.3056,2.55935,3.13146,2.44208,0.00623,0.15385,0.00336,0.00085,3.40408,8.14112,4.31952,0.00183102,0.00183102,0.00183102
21,30.0326,2.60323,3.05508,2.47042,0.02311,0.15385,0.01307,0.00247,3.31855,5.9924,4.27619,0.0018416,0.0018416,0.0018416
22,30.6933,2.59125,3.01843,2.51851,0.17587,0.15385,0.06086,0.02009,3.01907,6.23993,4.34764,0.00183368,0.00183368,0.00183368
23,31.4016,2.67666,3.05849,2.53898,0.5,0.07692,0.09299,0.02805,3.21765,15.3175,4.49123,0.00182576,0.00182576,0.00182576
24,32.1753,2.39437,2.95553,2.44027,0.03447,0.07692,0.00981,0.00395,2.88648,12.5596,4.12627,0.00181784,0.00181784,0.00181784
25,32.8348,2.51152,2.88453,2.39842,0.04327,0.07692,0.00871,0.00264,2.94913,10.2953,3.90843,0.00180992,0.00180992,0.00180992
26,33.4948,2.57247,2.87056,2.42515,0.11029,0.07692,0.04716,0.00713,2.98266,11.2967,3.38919,0.001802,0.001802,0.001802
27,34.1924,2.47769,2.78015,2.43176,0.03183,0.23077,0.01326,0.00377,3.12573,14.5333,5.33838,0.00179408,0.00179408,0.00179408
28,34.9695,2.38818,2.79276,2.3913,0.00351,0.15385,0.00212,0.00039,3.87991,22.5583,5.61405,0.00178616,0.00178616,0.00178616
29,35.6265,2.40275,2.70459,2.36473,0.00356,0.15385,0.00162,0.00026,4.02532,123.102,7.51899,0.00177824,0.00177824,0.00177824
30,36.2989,2.50022,2.85129,2.46597,0.00111,0.23077,0.00085,0.00024,3.42386,98.4532,5.61234,0.00177032,0.00177032,0.00177032
31,36.9761,2.40187,2.74441,2.42101,0.00185,0.38462,0.00131,0.00033,3.62385,70.3141,5.98789,0.0017624,0.0017624,0.0017624
32,37.5703,2.35605,2.90833,2.34014,0.01935,0.3567,0.00859,0.00279,3.3391,14.8725,3.98156,0.00175448,0.00175448,0.00175448
33,38.1847,2.50421,2.76395,2.4364,0.11513,0.15385,0.03619,0.01041,3.02573,5.4681,4.06844,0.00174656,0.00174656,0.00174656
34,39.0012,2.33034,2.70865,2.29317,0.1651,0.07692,0.03885,0.01499,3.06619,4.49516,3.51025,0.00173864,0.00173864,0.00173864
35,39.6796,2.30782,2.63037,2.26445,0.08046,0.07692,0.02759,0.00804,2.91805,5.41733,3.43936,0.00173072,0.00173072,0.00173072
36,40.3569,2.23696,2.68823,2.25052,0.12873,0.15385,0.06453,0.01027,3.03356,6.52383,3.85627,0.0017228,0.0017228,0.0017228
37,40.9845,2.24312,2.58939,2.26517,0.02238,0.30769,0.01298,0.00281,3.23534,9.29973,4.60655,0.00171488,0.00171488,0.00171488
38,41.5416,2.41772,2.53955,2.40859,0.01808,0.23077,0.0095,0.00345,3.22374,11.7695,4.23777,0.00170696,0.00170696,0.00170696
39,42.0907,2.26926,2.56576,2.27258,0.0113,0.30769,0.00675,0.00172,3.23705,150.773,5.71615,0.00169904,0.00169904,0.00169904
40,42.8157,2.25628,2.62362,2.25454,0.0307,0.30769,0.02176,0.00483,2.98674,9.92611,3.71022,0.00169112,0.00169112,0.00169112
41,43.4631,2.24387,2.65793,2.26911,0.04925,0.2311,0.02716,0.00994,2.77072,5.00086,3.07702,0.0016832,0.0016832,0.0016832
42,44.1131,2.32157,2.48628,2.27798,0.07411,0.15385,0.03166,0.00994,2.69888,5.73492,2.93998,0.00167528,0.00167528,0.00167528
43,44.767,2.30283,2.61444,2.24064,0.11043,0.07692,0.03615,0.0128,2.79491,9.29147,3.14374,0.00166736,0.00166736,0.00166736
44,45.4457,2.30237,2.57896,2.239,0.05135,0.15385,0.02284,0.00848,2.85261,12.5793,3.17961,0.00165944,0.00165944,0.00165944
45,46.0917,2.19442,2.53135,2.21071,0.06338,0.23077,0.03473,0.01364,2.72485,8.39236,3.00408,0.00165152,0.00165152,0.00165152
46,46.6567,2.34275,2.51345,2.1697,0.11242,0.30769,0.06409,0.02327,2.70656,4.8686,3.03819,0.0016436,0.0016436,0.0016436
47,47.4049,2.18932,2.52097,2.1683,0.15246,0.23077,0.06937,0.02614,2.81103,4.04051,3.17492,0.00163568,0.00163568,0.00163568
48,47.961,2.20071,2.59519,2.20451,0.40235,0.15385,0.18356,0.047,2.91816,4.72558,3.213,0.00162776,0.00162776,0.00162776
49,48.5594,2.3037,2.58461,2.21381,0.36772,0.15385,0.1292,0.03176,2.8802,5.21544,3.23915,0.00161984,0.00161984,0.00161984
50,49.2032,2.17689,2.59231,2.19249,0.17159,0.15385,0.06195,0.02253,2.7826,5.52441,2.95663,0.00161192,0.00161192,0.00161192
51,49.8522,2.12695,2.59234,2.16075,0.39417,0.15385,0.14097,0.02885,2.86353,9.74217,3.07488,0.001604,0.001604,0.001604
52,50.5066,2.16505,2.57844,2.2215,0.14874,0.15385,0.10869,0.02722,3.02012,11.717,3.17892,0.00159608,0.00159608,0.00159608
53,51.2352,2.34548,2.53442,2.31284,0.23869,0.15385,0.07766,0.02674,2.86375,5.28351,2.90738,0.00158816,0.00158816,0.00158816
54,51.8597,2.10416,2.39533,2.14361,0.10391,0.15385,0.0659,0.01016,2.91337,3.00696,2.93704,0.00158024,0.00158024,0.00158024
55,52.4392,2.21403,2.44259,2.21606,0.16519,0.15385,0.08111,0.02508,2.57225,2.76548,2.61319,0.00157232,0.00157232,0.00157232
56,53.0438,2.20194,2.44806,2.13036,0.80385,0.07692,0.10707,0.04844,2.75145,3.16336,2.74568,0.0015644,0.0015644,0.0015644
57,53.723,2.15284,2.40687,2.11875,0.89505,0.07692,0.11292,0.0507,2.64238,2.90827,2.66649,0.00155648,0.00155648,0.00155648
58,54.4083,2.17849,2.43971,2.20528,0.44758,0.15385,0.15558,0.04559,2.63554,3.13222,2.76444,0.00154856,0.00154856,0.00154856
59,55.1354,2.2031,2.39454,2.15857,0.19208,0.15385,0.08832,0.02982,2.87796,4.19842,2.82445,0.00154064,0.00154064,0.00154064
60,55.7742,2.1627,2.41834,2.12978,0.0639,0.15385,0.0181,0.00892,3.01815,13.9498,3.24349,0.00153272,0.00153272,0.00153272
61,56.4498,2.19589,2.37173,2.19281,0.15031,0.15385,0.04289,0.02204,2.8076,6.03712,3.13704,0.0015248,0.0015248,0.0015248
62,57.1122,2.05055,2.29787,2.06409,0.23531,0.23077,0.10563,0.03792,2.75492,3.54361,3.0671,0.00151688,0.00151688,0.00151688
63,57.6848,2.11231,2.33075,2.05046,0.12783,0.15385,0.0913,0.03008,2.69661,3.00145,2.86753,0.00150896,0.00150896,0.00150896
64,58.2893,2.0495,2.23367,2.06679,0.08542,0.30769,0.08266,0.02077,2.68822,2.94206,2.87361,0.00150104,0.00150104,0.00150104
65,59.0189,2.05768,2.34539,2.09452,0.15774,0.46154,0.13756,0.03095,2.6048,2.81691,2.60608,0.00149312,0.00149312,0.00149312
66,59.6141,2.12617,2.30904,2.14035,0.2217,0.38462,0.13185,0.03943,2.66144,2.75115,2.59824,0.0014852,0.0014852,0.0014852
67,60.1767,2.11287,2.33326,2.16738,0.23816,0.46154,0.15937,0.0449,2.64101,3.08396,2.78342,0.00147728,0.00147728,0.00147728
68,60.7463,2.18139,2.47873,2.21893,0.01744,0.15385,0.01294,0.00368,3.20179,8.87073,3.50881,0.00146936,0.00146936,0.00146936
69,61.3598,2.12341,2.35014,2.11364,0.0169,0.15385,0.01279,0.00215,3.16107,9.88471,3.52268,0.00146144,0.00146144,0.00146144
70,62.0074,2.15558,2.3675,2.18345,0.04835,0.07692,0.04179,0.00842,2.97276,5.59025,3.20376,0.00145352,0.00145352,0.00145352
71,62.6504,2.20958,2.39105,2.20249,0.10092,0.16448,0.16711,0.04741,2.7607,3.23745,2.82719,0.0014456,0.0014456,0.0014456
72,63.5529,2.0587,2.2936,2.07601,0.10995,0.15385,0.0994,0.02766,2.45608,2.98355,2.53976,0.00143768,0.00143768,0.00143768
73,64.2202,2.13076,2.39845,2.10344,0.08469,0.53846,0.08691,0.02288,2.46489,3.20694,2.45513,0.00142976,0.00142976,0.00142976
74,64.8644,2.05068,2.22585,2.04023,0.29714,0.15385,0.14764,0.03047,2.49347,3.3506,2.5858,0.00142184,0.00142184,0.00142184
75,65.506,2.12384,2.53524,2.18506,0.11315,0.38462,0.08227,0.02134,2.50278,3.2956,2.71297,0.00141392,0.00141392,0.00141392
76,66.1902,2.03604,2.25651,2.07606,0.13825,0.30769,0.13225,0.03572,2.65366,3.19623,2.79875,0.001406,0.001406,0.001406
77,66.8238,1.99531,2.1626,2.00768,0.19898,0.30769,0.13582,0.03658,2.6428,2.846,2.71923,0.00139808,0.00139808,0.00139808
78,67.5715,2.09146,2.20099,2.07635,0.30483,0.20446,0.15969,0.04612,2.67143,2.62311,2.63919,0.00139016,0.00139016,0.00139016
79,68.2025,2.07242,2.24524,2.04497,0.25778,0.30769,0.15732,0.05744,2.63151,2.52337,2.56499,0.00138224,0.00138224,0.00138224
80,68.913,2.00096,2.15141,1.99978,0.15549,0.46154,0.11116,0.02969,2.63308,2.63485,2.51462,0.00137432,0.00137432,0.00137432
81,69.4917,2.01339,2.19635,2.03425,0.14281,0.46154,0.12966,0.02904,2.58481,2.70654,2.51429,0.0013664,0.0013664,0.0013664
82,70.1619,2.12099,2.2633,2.09617,0.13312,0.46154,0.10362,0.02372,2.64617,2.84027,2.63028,0.00135848,0.00135848,0.00135848
83,70.822,2.1747,2.30699,2.16567,0.10256,0.46154,0.10908,0.025,2.69703,3.12825,2.67022,0.00135056,0.00135056,0.00135056
84,71.4976,2.16073,2.26775,2.17477,0.43942,0.07692,0.11311,0.01679,2.63161,3.3627,2.62227,0.00134264,0.00134264,0.00134264
85,72.1991,2.09877,2.34542,2.06196,0.16629,0.23077,0.15059,0.02514,2.43883,3.27623,2.49283,0.00133472,0.00133472,0.00133472
86,72.8538,2.03099,2.31549,2.06666,0.16484,0.23077,0.20831,0.05278,2.46862,2.97794,2.47852,0.0013268,0.0013268,0.0013268
87,73.4954,2.12505,2.17108,2.10921,0.46532,0.30769,0.26777,0.09519,2.46313,2.76245,2.527,0.00131888,0.00131888,0.00131888
88,74.1708,2.02931,2.12599,2.04071,0.18627,0.15385,0.0976,0.03491,2.70216,2.58541,2.73439,0.00131096,0.00131096,0.00131096
89,74.8029,1.98321,2.08233,2.03529,0.17208,0.30769,0.11327,0.0318,2.73183,2.70432,2.70694,0.00130304,0.00130304,0.00130304
90,75.474,2.04468,2.33491,1.97906,0.13271,0.30769,0.09867,0.02655,2.73906,2.61905,2.67476,0.00129512,0.00129512,0.00129512
91,76.1875,2.06415,2.17162,2.05133,0.19871,0.38462,0.14308,0.03774,2.70416,2.52155,2.62768,0.0012872,0.0012872,0.0012872
92,76.8426,1.98527,2.07506,2.03552,0.17273,0.53846,0.13069,0.03938,2.64481,2.45219,2.69118,0.00127928,0.00127928,0.00127928
93,77.4859,1.92754,2.0401,1.93068,0.42524,0.30769,0.26989,0.05924,2.57595,2.44787,2.66519,0.00127136,0.00127136,0.00127136
94,78.1644,1.9743,2.18089,2.00922,0.33595,0.27422,0.18046,0.04384,2.64819,2.43795,2.73368,0.00126344,0.00126344,0.00126344
95,78.7199,2.00778,2.24069,2.05747,0.33325,0.30769,0.14332,0.05007,2.81803,2.594,2.8139,0.00125552,0.00125552,0.00125552
96,79.3239,1.97552,2.15919,1.98721,0.18716,0.30769,0.12493,0.0401,2.9604,2.78453,3.0567,0.0012476,0.0012476,0.0012476
97,80.0253,1.99923,2.23514,2.04241,0.15332,0.30769,0.11346,0.03454,2.9164,2.78728,3.02737,0.00123968,0.00123968,0.00123968
98,80.6449,1.91049,2.03074,2.00789,0.12109,0.23077,0.07726,0.02446,2.75556,2.67606,2.87756,0.00123176,0.00123176,0.00123176
99,81.1803,2.03146,2.19312,2.02776,0.12944,0.23077,0.09079,0.03231,2.74932,2.80828,2.83779,0.00122384,0.00122384,0.00122384
100,81.8094,2.04151,2.16134,2.09635,0.28785,0.30769,0.15885,0.05197,2.73261,3.42519,2.91299,0.00121592,0.00121592,0.00121592
101,82.312,2.13313,2.29745,2.13735,0.31611,0.30769,0.16575,0.06071,2.79371,3.35049,3.00371,0.001208,0.001208,0.001208
102,82.8763,1.91962,1.98519,1.94296,0.32351,0.15385,0.17447,0.05813,2.97335,3.29811,3.18911,0.00120008,0.00120008,0.00120008
